Class,Subject,Faculty,Day,Period,Room
CA-1,CHE LAB,C2,Monday,5,B41
CA-1,CHE LAB,C2,Monday,6,B41
CA-1,CHE LAB,C2,Monday,7,B41
CA-1,DS LAB,CS4,Tuesday,1,B15
CA-1,DS LAB,CS4,Tuesday,2,B15
CA-1,DS LAB,CS4,Tuesday,3,B15
EC-1,BCME,ME10,Thursday,1,A52
EC-1,CE,E1,Friday,3,A52
EC-1,CE,E1,Monday,3,A52
EC-1,CE,E1,Wednesday,4,A52
EC-1,CE LAB,E1,Tuesday,2,B37
EC-1,CE LAB,E1,Tuesday,3,B37
EC-1,CE LAB,E1,Tuesday,4,B37
EC-1,DEVC,M3,Monday,2,A52
EC-1,DEVC,M3,Saturday,4,A52
EC-1,DEVC,M3,Thursday,5,A52
EC-1,DEVC,M3,Tuesday,1,A52
EC-1,DEVC,M3,Wednesday,3,A52
EC-1,EP,P3,Wednesday,1,A52
EC-1,EP LAB,P3,Thursday,2,B42
EC-1,EP LAB,P3,Thursday,3,B42
EC-1,EP LAB,P3,Thursday,4,B42
EC-1,EWS,ME4,Wednesday,6,A52
EC-1,EWS,ME4,Wednesday,7,A52
EC-1,HWYS,PD,Monday,6,A52
EC-1,HWYS,PD,Monday,7,A52
EC-1,ITWS,CS6,Saturday,1,A52
EC-1,ITWS,CS6,Saturday,2,A52
EC-1,NAS LAB,EE11,Saturday,5,B03
EC-1,NAS LAB,EE11,Saturday,6,B03
EC-1,NAS LAB,EE11,Saturday,7,B03
EC-2,DEVC,M3,Friday,5,A55
EC-2,DEVC,M3,Monday,4,A55
EC-2,DEVC,M3,Saturday,6,A55
EC-2,DEVC,M3,Thursday,1,A55
EC-2,DEVC,M3,Tuesday,3,A55
EC-2,DEVC,M3,Wednesday,5,A55
EC-2,EP LAB,P2,Friday,2,B42
EC-2,EP LAB,P2,Friday,3,B42
EC-2,EP LAB,P2,Friday,4,B42
EC-2,NAS LAB,EE2,Thursday,5,B03
EC-2,NAS LAB,EE2,Thursday,6,B03
EC-2,NAS LAB,EE2,Thursday,7,B03
EC-3,DEVC,M3,Friday,1,A56
EC-3,DEVC,M3,Monday,6,A56
EC-3,DEVC,M3,Saturday,1,A56
EC-3,DEVC,M3,Thursday,3,A56
EC-3,DEVC,M3,Tuesday,5,A56
EC-3,DEVC,M3,Wednesday,1,A56
EC-3,EP LAB,P1,Saturday,2,B42
EC-3,EP LAB,P1,Saturday,3,B42
EC-3,EP LAB,P1,Saturday,4,B42
EC-3,NAS LAB,EE11,Friday,5,B03
EC-3,NAS LAB,EE11,Friday,6,B03
EC-3,NAS LAB,EE11,Friday,7,B03
EE-1,BCME,ME3,Monday,6,A57
EE-1,BCME,ME3,Saturday,1,A57
EE-1,BCME,ME3,Thursday,5,A57
EE-1,BCME,ME3,Tuesday,1,A57
EE-1,CE,E4,Saturday,5,A57
EE-1,CE,E4,Tuesday,2,A57
EE-1,CE,E4,Wednesday,6,A57
EE-1,CE LAB,E4,Monday,2,B37
EE-1,CE LAB,E4,Monday,3,B37
EE-1,CE LAB,E4,Monday,4,B37
EE-1,DEVC,M4,Friday,5,A57
EE-1,DEVC,M4,Monday,5,A57
EE-1,DEVC,M4,Saturday,4,A57
EE-1,DEVC,M4,Thursday,3,A57
